Image,Caption
urn:cite:mid:sbb104imgs.sbb00000104_00001.v1,Front cover
urn:cite:mid:sbb104imgs.sbb00000104_00002.v1,"Paste down, inside front cover"
urn:cite:mid:sbb104imgs.sbb00000104_00003.v1,"Title Page"
urn:cite:mid:sbb104imgs.sbb00000104_00004.v1,"Back of Title Page"
urn:cite:mid:sbb104imgs.sbb00000104_00005.v1,"Folio 1, recto"
urn:cite:mid:sbb104imgs.sbb00000104_00006.v1,"Folio 1, verso"
urn:cite:mid:sbb104imgs.sbb00000104_00007.v1,"Folio 2, recto"
urn:cite:mid:sbb104imgs.sbb00000104_00008.v1,"Folio 2, verso"
urn:cite:mid:sbb104imgs.sbb00000104_00009.v1,"Folio 3, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000010.v1,"Folio 3, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000011.v1,"Folio 4, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000012.v1,"Folio 4, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000013.v1,"Folio 5, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000014.v1,"Folio 5, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000015.v1,"Folio 6, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000016.v1,"Folio 6, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000017.v1,"Folio 7, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000018.v1,"Folio 7, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000019.v1,"Folio 8, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000020.v1,"Folio 8, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000021.v1,"Folio 9, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000022.v1,"Folio 9, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000023.v1,"Folio 10, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000024.v1,"Folio 10, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000025.v1,"Folio 11, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000026.v1,"Folio 11, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000027.v1,"Folio 12, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000028.v1,"Folio 12, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000029.v1,"Folio 13, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000030.v1,"Folio 13, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000031.v1,"Folio 14, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000032.v1,"Folio 14, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000033.v1,"Folio 15, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000034.v1,"Folio 15, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000035.v1,"Folio 16, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000036.v1,"Folio 16, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000037.v1,"Folio 17, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000038.v1,"Folio 17, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000039.v1,"Folio 18, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000040.v1,"Folio 18, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000041.v1,"Folio 19, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000042.v1,"Folio 19, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000043.v1,"Folio 20, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000044.v1,"Folio 20, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000045.v1,"Folio 21, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000046.v1,"Folio 21, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000047.v1,"Folio 22, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000048.v1,"Folio 22, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000049.v1,"Folio 23, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000050.v1,"Folio 23, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000051.v1,"Folio 24, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000052.v1,"Folio 24, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000053.v1,"Folio 25, recto"


